province,health_region,date_report,cases,cumulative_cases,deaths,cumulative_deaths,numtotal_last14,numdeaths_last14
Quebec,Abitibi-Témiscamingue,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Repatriated,Repatriated,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Renfrew,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Bas-Saint-Laurent,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Saskatchewan,Regina,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
PEI,Prince Edward Island,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Manitoba,Prairie Mountain,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Porcupine,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Peterborough,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Peel,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Saguenay,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Outaouais,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Nunavut,Nunavut,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Nunavik,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Brant,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Saskatchewan,Not Reported,25-01-2020,0.0,0.0,0.0,0.0,5.0,0.0
Quebec,Not Reported,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Not Reported,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Nova Scotia,Not Reported,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
NL,Not Reported,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
New Brunswick,Not Reported,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Ottawa,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Saskatchewan,Saskatoon,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Simcoe Muskoka,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,South,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Nova Scotia,Zone 2 - Northern,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
New Brunswick,Zone 2 (Saint John area),25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Nova Scotia,Zone 1 - Western,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
New Brunswick,Zone 1 (Moncton area),25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Yukon,Yukon,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,York,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Manitoba,Winnipeg,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Windsor-Essex,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
NL,Western,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Algoma,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Wellington Dufferin Guelph,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Waterloo,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
BC,Vancouver Coastal,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Toronto,25-01-2020,1.0,1.0,0.0,0.0,1.0,0.0
Ontario,Timiskaming,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Thunder Bay,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Terres-Cries-de-la-Baie-James,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Sudbury,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Southwestern,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Manitoba,Southern Health,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Saskatchewan,South,25-01-2020,0.0,0.0,0.0,0.0,321.0,3.0
Manitoba,Not Reported,25-01-2020,0.0,0.0,0.0,0.0,1.0,0.0
New Brunswick,Zone 3 (Fredericton area),25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
BC,Not Reported,25-01-2020,0.0,0.0,0.0,0.0,16.0,0.0
Ontario,Northwestern,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Hamilton,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Halton,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Haliburton Kawartha Pineridge,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Haldimand-Norfolk,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Grey Bruce,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Canada,Canada,25-01-2020,1.0,1.0,0.0,0.0,1.0,0.0
Quebec,Gaspésie-Îles-de-la-Madeleine,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
BC,Fraser,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Saskatchewan,Far North,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Hastings Prince Edward,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Estrie,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Eastern,25-01-2020,0.0,0.0,0.0,0.0,2.0,0.0
NL,Eastern,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Durham,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Côte-Nord,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Chaudière-Appalaches,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Chatham-Kent,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Saskatchewan,Central,25-01-2020,0.0,0.0,0.0,0.0,1.0,0.0
NL,Central,25-01-2020,0.0,0.0,0.0,0.0,201.0,1.0
Alberta,Central,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,Edmonton,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Huron Perth,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
BC,Interior,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Manitoba,Interlake-Eastern,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Manitoba,Northern,25-01-2020,0.0,0.0,0.0,0.0,62.0,0.0
BC,Northern,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,North Bay Parry Sound,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Saskatchewan,North,25-01-2020,0.0,0.0,0.0,0.0,399.0,0.0
Alberta,North,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Nord-du-Québec,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Niagara,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
NWT,NWT,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Montérégie,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Montréal,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Middlesex-London,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Mauricie,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Leeds Grenville and Lanark,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,Calgary,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Laval,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Laurentides,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Lanaudière,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Lambton,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
NL,Labrador-Grenfell,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Kingston Frontenac Lennox & Addington,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
BC,Island,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,Not Reported,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Nova Scotia,Zone 3 - Eastern,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Capitale-Nationale,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
New Brunswick,Zone 5 (Campbellton area),25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Nova Scotia,Zone 4 - Central,25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
New Brunswick,Zone 6 (Bathurst area),25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
New Brunswick,Zone 7 (Miramichi area),25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
New Brunswick,Zone 4 (Edmundston area),25-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
New Brunswick,Zone 6 (Bathurst area),26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,Not Reported,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
BC,Not Reported,26-01-2020,0.0,0.0,0.0,0.0,16.0,0.0
Manitoba,Not Reported,26-01-2020,0.0,0.0,0.0,0.0,1.0,0.0
New Brunswick,Not Reported,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,Edmonton,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Bas-Saint-Laurent,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
NWT,NWT,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
NL,Not Reported,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Nova Scotia,Not Reported,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Yukon,Yukon,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Not Reported,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Saskatchewan,Not Reported,26-01-2020,0.0,0.0,0.0,0.0,5.0,0.0
New Brunswick,Zone 1 (Moncton area),26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Montérégie,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Hamilton,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Montréal,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Manitoba,Southern Health,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Eastern,26-01-2020,0.0,0.0,0.0,0.0,2.0,0.0
NL,Eastern,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Wellington Dufferin Guelph,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Hastings Prince Edward,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Middlesex-London,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Huron Perth,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Durham,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Southwestern,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Not Reported,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Renfrew,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Halton,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Mauricie,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Windsor-Essex,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Canada,Canada,26-01-2020,0.0,1.0,0.0,0.0,1.0,0.0
Saskatchewan,North,26-01-2020,0.0,0.0,0.0,0.0,399.0,0.0
Alberta,North,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Saskatchewan,Saskatoon,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Grey Bruce,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,North Bay Parry Sound,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Gaspésie-Îles-de-la-Madeleine,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Manitoba,Winnipeg,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Simcoe Muskoka,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Haldimand-Norfolk,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Saguenay,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Timiskaming,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Nord-du-Québec,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
BC,Fraser,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
BC,Northern,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Manitoba,Northern,26-01-2020,0.0,0.0,0.0,0.0,62.0,0.0
NL,Western,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,South,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,York,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Saskatchewan,South,26-01-2020,0.0,0.0,0.0,0.0,321.0,3.0
Ontario,Haliburton Kawartha Pineridge,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Saskatchewan,Far North,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Repatriated,Repatriated,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Northwestern,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Niagara,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Estrie,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Algoma,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Saskatchewan,Regina,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Nova Scotia,Zone 1 - Western,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
BC,Island,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
BC,Vancouver Coastal,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Nova Scotia,Zone 2 - Northern,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
New Brunswick,Zone 5 (Campbellton area),26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,Central,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Manitoba,Prairie Mountain,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Capitale-Nationale,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
NL,Central,26-01-2020,0.0,0.0,0.0,0.0,201.0,1.0
Quebec,Laval,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Chatham-Kent,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Porcupine,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Nunavik,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Saskatchewan,Central,26-01-2020,0.0,0.0,0.0,0.0,1.0,0.0
Quebec,Terres-Cries-de-la-Baie-James,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Côte-Nord,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Peterborough,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Nunavut,Nunavut,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Kingston Frontenac Lennox & Addington,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
New Brunswick,Zone 3 (Fredericton area),26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Toronto,26-01-2020,0.0,1.0,0.0,0.0,1.0,0.0
Quebec,Laurentides,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Peel,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Sudbury,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Chaudière-Appalaches,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
PEI,Prince Edward Island,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Abitibi-Témiscamingue,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Waterloo,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
BC,Interior,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
New Brunswick,Zone 4 (Edmundston area),26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Lambton,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
New Brunswick,Zone 2 (Saint John area),26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Outaouais,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Nova Scotia,Zone 3 - Eastern,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
NL,Labrador-Grenfell,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
New Brunswick,Zone 7 (Miramichi area),26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Leeds Grenville and Lanark,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Thunder Bay,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Ottawa,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Nova Scotia,Zone 4 - Central,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Lanaudière,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Brant,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Manitoba,Interlake-Eastern,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,Calgary,26-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Grey Bruce,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Simcoe Muskoka,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Windsor-Essex,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
New Brunswick,Zone 7 (Miramichi area),27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Toronto,27-01-2020,1.0,2.0,0.0,0.0,2.0,0.0
Ontario,Thunder Bay,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
NL,Western,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Lambton,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
