ï»¿Report_Data_Extracted,PHU_Num,PHU,LTC_Homes_with_Active_Outbreak,LTC_Homes_with_Resolved_Outbreak,Confirmed_Active_LTC_Resident_Cases,Confirmed_Active_LTC_HCW_Cases,Total_LTC_Resident_Deaths,Total_LTC_HCW_Deaths
2020-04-25,2256.0,PORCUPINE,0,1,0.0,0.0,0.0,0.0
2020-04-25,2257.0,RENFREW,0,1,0.0,0.0,0.0,0.0
2020-04-25,2258.0,EASTERN ONTARIO,3,1,8.0,5.0,0.0,0.0
2020-04-25,2260.0,SIMCOE-MUSKOKA,4,1,20.0,13.0,7.0,0.0
2020-04-25,2261.0,SUDBURY,1,0,1.0,1.0,0.0,0.0
2020-04-25,2262.0,THUNDER BAY,0,0,0.0,0.0,0.0,0.0
2020-04-25,2263.0,TIMISKAMING,0,0,0.0,0.0,0.0,0.0
2020-04-25,2265.0,WATERLOO,5,3,161.0,90.0,31.0,0.0
2020-04-25,2266.0,WELLINGTON-DUFFERIN-GUELPH,5,1,22.0,11.0,6.0,0.0
2020-04-25,2268.0,WINDSOR-ESSEX,4,3,68.0,27.0,20.0,0.0
2020-04-25,2270.0,YORK REGION,12,1,155.0,68.0,39.0,0.0
2020-04-25,3895.0,TORONTO,50,4,1122.0,481.0,307.0,1.0
2020-04-25,4913.0,SOUTH WEST,1,0,0.0,1.0,0.0,0.0
2020-04-25,5183.0,Huron Perth,1,1,3.0,7.0,2.0,0.0
2020-04-26,2226.0,ALGOMA,0,0,0.0,0.0,0.0,0.0
2020-04-26,2227.0,BRANT,2,0,28.0,34.0,23.0,0.0
2020-04-26,2230.0,DURHAM,7,1,224.0,103.0,80.0,0.0
2020-04-26,2233.0,GREY-BRUCE,2,0,22.0,7.0,0.0,0.0
2020-04-26,2234.0,HALDIMAND-NORFOLK,1,1,0.0,1.0,0.0,0.0
2020-04-26,2235.0,HALIBURTON KAWARTHA PR,1,0,33.0,32.0,29.0,0.0
2020-04-26,2236.0,HALTON,4,1,2.0,4.0,0.0,0.0
2020-04-26,2237.0,HAMILTON,3,2,13.0,3.0,4.0,0.0
2020-04-26,2238.0,HASTINGS PRINCE EDWARD,2,1,10.0,5.0,0.0,0.0
2020-04-26,2240.0,CHATHAM-KENT,0,0,0.0,0.0,0.0,0.0
2020-04-26,2241.0,KINGSTON FRONTENAC L & A,1,0,1.0,0.0,0.0,0.0
2020-04-26,2242.0,LAMBTON,2,0,0.0,3.0,0.0,0.0
2020-04-26,2243.0,"LEEDS,GRENVILLE,LANARK",3,0,94.0,32.0,30.0,0.0
2020-04-26,2244.0,MIDDLESEX-LONDON,5,3,16.0,10.0,8.0,0.0
2020-04-26,2246.0,NIAGARA,4,3,44.0,30.0,10.0,0.0
2020-04-26,2247.0,NORTH BAY-PARRY SOUND,0,0,0.0,0.0,0.0,0.0
2020-04-26,2249.0,NORTHWESTERN,0,0,0.0,0.0,0.0,0.0
2020-04-26,2251.0,OTTAWA,10,2,171.0,91.0,37.0,0.0
2020-04-26,2253.0,PEEL,14,0,300.0,113.0,30.0,0.0
2020-04-26,2255.0,PETERBOROUGH,1,1,4.0,2.0,0.0,0.0
2020-04-26,2256.0,PORCUPINE,0,1,0.0,0.0,0.0,0.0
2020-04-26,2257.0,RENFREW,0,1,0.0,0.0,0.0,0.0
2020-04-26,2258.0,EASTERN ONTARIO,3,1,8.0,5.0,0.0,0.0
2020-04-26,2260.0,SIMCOE-MUSKOKA,4,1,20.0,13.0,7.0,0.0
2020-04-26,2261.0,SUDBURY,1,0,1.0,1.0,0.0,0.0
2020-04-26,2262.0,THUNDER BAY,0,0,0.0,0.0,0.0,0.0
2020-04-26,2263.0,TIMISKAMING,0,0,0.0,0.0,0.0,0.0
2020-04-26,2265.0,WATERLOO,5,3,161.0,90.0,31.0,0.0
2020-04-26,2266.0,WELLINGTON-DUFFERIN-GUELPH,5,1,22.0,11.0,6.0,0.0
2020-04-26,2268.0,WINDSOR-ESSEX,4,3,68.0,27.0,20.0,0.0
2020-04-26,2270.0,YORK REGION,12,1,153.0,68.0,44.0,0.0
2020-04-26,3895.0,TORONTO,52,4,1125.0,494.0,310.0,1.0
2020-04-26,4913.0,SOUTH WEST,1,0,0.0,1.0,0.0,0.0
2020-04-26,5183.0,Huron Perth,1,1,3.0,7.0,2.0,0.0
2020-04-27,2226.0,ALGOMA,0,0,0.0,0.0,0.0,0.0
2020-04-27,2227.0,BRANT,3,0,29.0,34.0,23.0,0.0
2020-04-27,2230.0,DURHAM,7,1,213.0,103.0,83.0,0.0
2020-04-27,2233.0,GREY-BRUCE,2,0,22.0,7.0,0.0,0.0
2020-04-27,2234.0,HALDIMAND-NORFOLK,2,1,0.0,4.0,0.0,0.0
2020-04-27,2235.0,HALIBURTON KAWARTHA PR,2,0,39.0,38.0,29.0,0.0
2020-04-27,2236.0,HALTON,4,1,2.0,4.0,0.0,0.0
2020-04-27,2237.0,HAMILTON,3,2,14.0,4.0,6.0,0.0
2020-04-27,2238.0,HASTINGS PRINCE EDWARD,2,1,10.0,5.0,0.0,0.0
2020-04-27,2240.0,CHATHAM-KENT,0,0,0.0,0.0,0.0,0.0
2020-04-27,2241.0,KINGSTON FRONTENAC L & A,0,1,0.0,0.0,0.0,0.0
2020-04-27,2242.0,LAMBTON,2,0,3.0,3.0,0.0,0.0
2020-04-27,2243.0,"LEEDS,GRENVILLE,LANARK",2,0,95.0,29.0,31.0,0.0
2020-04-27,2244.0,MIDDLESEX-LONDON,5,3,15.0,10.0,9.0,0.0
2020-04-27,2246.0,NIAGARA,3,4,42.0,29.0,11.0,0.0
2020-04-27,2247.0,NORTH BAY-PARRY SOUND,0,0,0.0,0.0,0.0,0.0
2020-04-27,2249.0,NORTHWESTERN,0,0,0.0,0.0,0.0,0.0
2020-04-27,2251.0,OTTAWA,11,1,172.0,92.0,37.0,0.0
2020-04-27,2253.0,PEEL,14,0,301.0,113.0,30.0,0.0
2020-04-27,2255.0,PETERBOROUGH,2,1,4.0,3.0,0.0,0.0
2020-04-27,2256.0,PORCUPINE,0,1,0.0,0.0,0.0,0.0
2020-04-27,2257.0,RENFREW,0,1,0.0,0.0,0.0,0.0
2020-04-27,2258.0,EASTERN ONTARIO,3,1,8.0,5.0,0.0,0.0
2020-04-27,2260.0,SIMCOE-MUSKOKA,4,1,20.0,13.0,7.0,0.0
2020-04-27,2261.0,SUDBURY,2,0,2.0,1.0,0.0,0.0
2020-04-27,2262.0,THUNDER BAY,0,0,0.0,0.0,0.0,0.0
2020-04-27,2263.0,TIMISKAMING,0,0,0.0,0.0,0.0,0.0
2020-04-27,2265.0,WATERLOO,5,3,180.0,93.0,38.0,0.0
2020-04-27,2266.0,WELLINGTON-DUFFERIN-GUELPH,6,1,21.0,12.0,6.0,0.0
2020-04-27,2268.0,WINDSOR-ESSEX,3,4,65.0,29.0,22.0,0.0
2020-04-27,2270.0,YORK REGION,12,1,154.0,71.0,46.0,0.0
2020-04-27,3895.0,TORONTO,52,4,1076.0,495.0,325.0,1.0
2020-04-27,4913.0,SOUTH WEST,1,0,0.0,1.0,0.0,0.0
2020-04-27,5183.0,Huron Perth,2,1,4.0,7.0,2.0,0.0
2020-04-28,2226.0,ALGOMA,0,0,0.0,0.0,0.0,0.0
2020-04-28,2227.0,BRANT,3,0,29.0,34.0,23.0,0.0
2020-04-28,2230.0,DURHAM,7,1,212.0,104.0,84.0,0.0
2020-04-28,2233.0,GREY-BRUCE,2,0,22.0,9.0,0.0,0.0
2020-04-28,2234.0,HALDIMAND-NORFOLK,2,1,0.0,4.0,0.0,0.0
2020-04-28,2235.0,HALIBURTON KAWARTHA PR,2,0,39.0,38.0,29.0,0.0
2020-04-28,2236.0,HALTON,4,1,2.0,4.0,0.0,0.0
2020-04-28,2237.0,HAMILTON,3,3,5.0,2.0,6.0,0.0
2020-04-28,2238.0,HASTINGS PRINCE EDWARD,2,1,9.0,6.0,1.0,0.0
2020-04-28,2240.0,CHATHAM-KENT,0,0,0.0,0.0,0.0,0.0
2020-04-28,2241.0,KINGSTON FRONTENAC L & A,0,1,0.0,0.0,0.0,0.0
2020-04-28,2242.0,LAMBTON,3,0,3.0,4.0,0.0,0.0
2020-04-28,2243.0,"LEEDS,GRENVILLE,LANARK",2,0,95.0,29.0,31.0,0.0
2020-04-28,2244.0,MIDDLESEX-LONDON,5,3,15.0,10.0,9.0,0.0
2020-04-28,2246.0,NIAGARA,3,4,42.0,29.0,11.0,0.0
2020-04-28,2247.0,NORTH BAY-PARRY SOUND,0,0,0.0,0.0,0.0,0.0
2020-04-28,2249.0,NORTHWESTERN,0,0,0.0,0.0,0.0,0.0
2020-04-28,2251.0,OTTAWA,11,1,280.0,162.0,63.0,0.0
2020-04-28,2253.0,PEEL,14,0,302.0,120.0,32.0,0.0
2020-04-28,2255.0,PETERBOROUGH,2,1,4.0,3.0,0.0,0.0
2020-04-28,2256.0,PORCUPINE,0,1,0.0,0.0,0.0,0.0
2020-04-28,2257.0,RENFREW,0,1,0.0,0.0,0.0,0.0
2020-04-28,2258.0,EASTERN ONTARIO,2,1,8.0,4.0,0.0,0.0
2020-04-28,2260.0,SIMCOE-MUSKOKA,4,1,20.0,14.0,7.0,0.0
2020-04-28,2261.0,SUDBURY,2,0,4.0,5.0,0.0,0.0
2020-04-28,2262.0,THUNDER BAY,0,0,0.0,0.0,0.0,0.0
2020-04-28,2263.0,TIMISKAMING,0,0,0.0,0.0,0.0,0.0
2020-04-28,2265.0,WATERLOO,6,4,191.0,96.0,45.0,0.0
2020-04-28,2266.0,WELLINGTON-DUFFERIN-GUELPH,6,1,21.0,12.0,6.0,0.0
2020-04-28,2268.0,WINDSOR-ESSEX,5,2,65.0,34.0,31.0,0.0
2020-04-28,2270.0,YORK REGION,13,1,162.0,71.0,46.0,0.0
2020-04-28,3895.0,TORONTO,53,4,1098.0,559.0,349.0,1.0
2020-04-28,4913.0,SOUTH WEST,1,0,0.0,1.0,0.0,0.0
2020-04-28,5183.0,Huron Perth,2,1,4.0,7.0,2.0,0.0
2020-04-29,2226.0,ALGOMA,0,0,0.0,0.0,0.0,0.0
2020-04-29,2227.0,BRANT,3,0,29.0,33.0,23.0,0.0
2020-04-29,2230.0,DURHAM,7,1,212.0,108.0,90.0,0.0
2020-04-29,2233.0,GREY-BRUCE,2,0,22.0,9.0,0.0,0.0
2020-04-29,2234.0,HALDIMAND-NORFOLK,2,1,0.0,4.0,0.0,0.0
2020-04-29,2235.0,HALIBURTON KAWARTHA PR,2,0,39.0,38.0,29.0,0.0
2020-04-29,2236.0,HALTON,4,1,2.0,4.0,0.0,0.0
2020-04-29,2237.0,HAMILTON,3,3,5.0,4.0,6.0,0.0
2020-04-29,2238.0,HASTINGS PRINCE EDWARD,3,1,20.0,6.0,2.0,0.0
2020-04-29,2240.0,CHATHAM-KENT,0,0,0.0,0.0,0.0,0.0
2020-04-29,2241.0,KINGSTON FRONTENAC L & A,0,1,0.0,0.0,0.0,0.0
2020-04-29,2242.0,LAMBTON,2,1,3.0,3.0,0.0,0.0
2020-04-29,2243.0,"LEEDS,GRENVILLE,LANARK",2,0,95.0,31.0,31.0,0.0
2020-04-29,2244.0,MIDDLESEX-LONDON,5,3,20.0,11.0,9.0,0.0
2020-04-29,2246.0,NIAGARA,3,4,31.0,15.0,13.0,0.0
2020-04-29,2247.0,NORTH BAY-PARRY SOUND,0,0,0.0,0.0,0.0,0.0
2020-04-29,2249.0,NORTHWESTERN,0,0,0.0,0.0,0.0,0.0
2020-04-29,2251.0,OTTAWA,12,1,300.0,178.0,70.0,0.0
2020-04-29,2253.0,PEEL,14,0,316.0,133.0,48.0,0.0
2020-04-29,2255.0,PETERBOROUGH,2,1,10.0,3.0,0.0,0.0
2020-04-29,2256.0,PORCUPINE,0,1,0.0,0.0,0.0,0.0
2020-04-29,2257.0,RENFREW,0,1,0.0,0.0,0.0,0.0
2020-04-29,2258.0,EASTERN ONTARIO,2,1,8.0,4.0,0.0,0.0
2020-04-29,2260.0,SIMCOE-MUSKOKA,4,1,10.0,8.0,8.0,0.0
2020-04-29,2261.0,SUDBURY,3,0,4.0,6.0,0.0,0.0
2020-04-29,2262.0,THUNDER BAY,0,0,0.0,0.0,0.0,0.0
2020-04-29,2263.0,TIMISKAMING,0,0,0.0,0.0,0.0,0.0
2020-04-29,2265.0,WATERLOO,8,3,192.0,101.0,44.0,0.0
2020-04-29,2266.0,WELLINGTON-DUFFERIN-GUELPH,6,1,20.0,10.0,7.0,0.0
2020-04-29,2268.0,WINDSOR-ESSEX,5,2,53.0,34.0,31.0,0.0
2020-04-29,2270.0,YORK REGION,13,1,166.0,69.0,49.0,0.0
2020-04-29,3895.0,TORONTO,53,4,1056.0,616.0,371.0,1.0
2020-04-29,4913.0,SOUTH WEST,1,0,0.0,1.0,0.0,0.0
2020-04-29,5183.0,Huron Perth,2,1,1.0,1.0,4.0,0.0
2020-04-30,2226.0,ALGOMA,0,0,0.0,0.0,0.0,0.0
2020-04-30,2227.0,BRANT,3,0,29.0,34.0,23.0,0.0
2020-04-30,2230.0,DURHAM,6,2,209.0,109.0,94.0,0.0
2020-04-30,2233.0,GREY-BRUCE,2,0,2.0,5.0,0.0,0.0
2020-04-30,2234.0,HALDIMAND-NORFOLK,2,1,0.0,4.0,0.0,0.0
2020-04-30,2235.0,HALIBURTON KAWARTHA PR,2,0,39.0,39.0,29.0,0.0
2020-04-30,2236.0,HALTON,4,1,2.0,4.0,0.0,0.0
2020-04-30,2237.0,HAMILTON,3,3,5.0,4.0,6.0,0.0
2020-04-30,2238.0,HASTINGS PRINCE EDWARD,3,1,20.0,6.0,2.0,0.0
2020-04-30,2240.0,CHATHAM-KENT,0,0,0.0,0.0,0.0,0.0
2020-04-30,2241.0,KINGSTON FRONTENAC L & A,0,1,0.0,0.0,0.0,0.0
2020-04-30,2242.0,LAMBTON,2,1,3.0,3.0,0.0,0.0
2020-04-30,2243.0,"LEEDS,GRENVILLE,LANARK",2,0,95.0,31.0,31.0,0.0
2020-04-30,2244.0,MIDDLESEX-LONDON,5,3,20.0,11.0,9.0,0.0
2020-04-30,2246.0,NIAGARA,3,4,30.0,15.0,13.0,0.0
2020-04-30,2247.0,NORTH BAY-PARRY SOUND,0,0,0.0,0.0,0.0,0.0
2020-04-30,2249.0,NORTHWESTERN,0,0,0.0,0.0,0.0,0.0
2020-04-30,2251.0,OTTAWA,13,1,323.0,188.0,77.0,0.0
2020-04-30,2253.0,PEEL,14,0,322.0,134.0,48.0,0.0
2020-04-30,2255.0,PETERBOROUGH,2,1,10.0,3.0,0.0,0.0
2020-04-30,2256.0,PORCUPINE,0,1,0.0,0.0,0.0,0.0
2020-04-30,2257.0,RENFREW,0,1,0.0,0.0,0.0,0.0
2020-04-30,2258.0,EASTERN ONTARIO,2,1,8.0,4.0,0.0,0.0
2020-04-30,2260.0,SIMCOE-MUSKOKA,4,1,17.0,11.0,8.0,0.0
2020-04-30,2261.0,SUDBURY,3,0,4.0,6.0,0.0,0.0
2020-04-30,2262.0,THUNDER BAY,0,0,0.0,0.0,0.0,0.0
2020-04-30,2263.0,TIMISKAMING,2,0,3.0,3.0,0.0,0.0
2020-04-30,2265.0,WATERLOO,8,3,201.0,102.0,44.0,0.0
2020-04-30,2266.0,WELLINGTON-DUFFERIN-GUELPH,6,1,20.0,10.0,7.0,0.0
2020-04-30,2268.0,WINDSOR-ESSEX,5,2,50.0,34.0,31.0,0.0
2020-04-30,2270.0,YORK REGION,13,1,215.0,88.0,57.0,0.0
2020-04-30,3895.0,TORONTO,54,4,1094.0,632.0,378.0,1.0
2020-04-30,4913.0,SOUTH WEST,1,0,0.0,1.0,0.0,0.0
2020-04-30,5183.0,Huron Perth,2,1,1.0,1.0,4.0,0.0
2020-05-01,2226.0,ALGOMA,0,0,0.0,0.0,0.0,0.0
2020-05-01,2227.0,BRANT,3,0,29.0,27.0,23.0,0.0
2020-05-01,2230.0,DURHAM,7,2,203.0,111.0,99.0,0.0
2020-05-01,2233.0,GREY-BRUCE,1,0,0.0,3.0,0.0,0.0
2020-05-01,2234.0,HALDIMAND-NORFOLK,2,1,0.0,4.0,0.0,0.0
2020-05-01,2235.0,HALIBURTON KAWARTHA PR,2,0,39.0,39.0,29.0,0.0
2020-05-01,2236.0,HALTON,4,1,2.0,5.0,0.0,0.0
2020-05-01,2237.0,HAMILTON,3,3,5.0,4.0,6.0,0.0
2020-05-01,2238.0,HASTINGS PRINCE EDWARD,3,1,20.0,6.0,2.0,0.0
2020-05-01,2240.0,CHATHAM-KENT,0,0,0.0,0.0,0.0,0.0
2020-05-01,2241.0,KINGSTON FRONTENAC L & A,0,1,0.0,0.0,0.0,0.0
2020-05-01,2242.0,LAMBTON,2,1,3.0,3.0,0.0,0.0
2020-05-01,2243.0,"LEEDS,GRENVILLE,LANARK",2,0,87.0,30.0,31.0,0.0
2020-05-01,2244.0,MIDDLESEX-LONDON,5,3,20.0,11.0,9.0,0.0
2020-05-01,2246.0,NIAGARA,3,4,19.0,12.0,15.0,0.0
2020-05-01,2247.0,NORTH BAY-PARRY SOUND,0,0,0.0,0.0,0.0,0.0
2020-05-01,2249.0,NORTHWESTERN,0,0,0.0,0.0,0.0,0.0
2020-05-01,2251.0,OTTAWA,13,1,323.0,195.0,79.0,0.0
2020-05-01,2253.0,PEEL,14,0,342.0,142.0,51.0,1.0
2020-05-01,2255.0,PETERBOROUGH,2,1,10.0,3.0,0.0,0.0
2020-05-01,2256.0,PORCUPINE,0,1,0.0,0.0,0.0,0.0
2020-05-01,2257.0,RENFREW,0,1,0.0,0.0,0.0,0.0
2020-05-01,2258.0,EASTERN ONTARIO,1,2,8.0,3.0,0.0,0.0
2020-05-01,2260.0,SIMCOE-MUSKOKA,4,1,16.0,11.0,9.0,0.0
2020-05-01,2261.0,SUDBURY,3,0,3.0,6.0,1.0,0.0
2020-05-01,2262.0,THUNDER BAY,0,0,0.0,0.0,0.0,0.0
2020-05-01,2263.0,TIMISKAMING,2,0,3.0,3.0,0.0,0.0
2020-05-01,2265.0,WATERLOO,8,3,188.0,100.0,47.0,0.0
2020-05-01,2266.0,WELLINGTON-DUFFERIN-GUELPH,6,1,45.0,21.0,13.0,0.0
2020-05-01,2268.0,WINDSOR-ESSEX,5,2,50.0,35.0,31.0,0.0
2020-05-01,2270.0,YORK REGION,12,1,188.0,77.0,56.0,0.0
2020-05-01,3895.0,TORONTO,56,4,1078.0,687.0,405.0,1.0
2020-05-01,4913.0,SOUTH WEST,1,0,0.0,1.0,0.0,0.0
2020-05-01,5183.0,Huron Perth,3,1,1.0,2.0,4.0,0.0
2020-05-02,2226.0,ALGOMA,0,0,0.0,0.0,0.0,0.0
2020-05-02,2227.0,BRANT,3,0,29.0,27.0,23.0,0.0
2020-05-02,2230.0,DURHAM,6,3,202.0,101.0,100.0,0.0
2020-05-02,2233.0,GREY-BRUCE,1,0,0.0,3.0,0.0,0.0
2020-05-02,2234.0,HALDIMAND-NORFOLK,2,1,0.0,4.0,0.0,0.0
2020-05-02,2235.0,HALIBURTON KAWARTHA PR,2,0,39.0,39.0,29.0,0.0
2020-05-02,2236.0,HALTON,4,1,4.0,5.0,0.0,0.0
2020-05-02,2237.0,HAMILTON,3,3,5.0,4.0,6.0,0.0
2020-05-02,2238.0,HASTINGS PRINCE EDWARD,3,1,20.0,6.0,2.0,0.0
2020-05-02,2240.0,CHATHAM-KENT,0,0,0.0,0.0,0.0,0.0
2020-05-02,2241.0,KINGSTON FRONTENAC L & A,0,1,0.0,0.0,0.0,0.0
2020-05-02,2242.0,LAMBTON,2,1,3.0,3.0,0.0,0.0
2020-05-02,2243.0,"LEEDS,GRENVILLE,LANARK",2,0,87.0,30.0,31.0,0.0
2020-05-02,2244.0,MIDDLESEX-LONDON,5,3,17.0,19.0,11.0,0.0
2020-05-02,2246.0,NIAGARA,3,4,19.0,12.0,15.0,0.0
2020-05-02,2247.0,NORTH BAY-PARRY SOUND,0,0,0.0,0.0,0.0,0.0
2020-05-02,2249.0,NORTHWESTERN,0,0,0.0,0.0,0.0,0.0
2020-05-02,2251.0,OTTAWA,13,1,324.0,211.0,93.0,0.0
2020-05-02,2253.0,PEEL,14,0,375.0,152.0,59.0,1.0
2020-05-02,2255.0,PETERBOROUGH,2,1,1.0,4.0,0.0,0.0
2020-05-02,2256.0,PORCUPINE,0,1,0.0,0.0,0.0,0.0
2020-05-02,2257.0,RENFREW,0,1,0.0,0.0,0.0,0.0
2020-05-02,2258.0,EASTERN ONTARIO,2,2,10.0,3.0,0.0,0.0
2020-05-02,2260.0,SIMCOE-MUSKOKA,4,1,16.0,11.0,9.0,0.0
2020-05-02,2261.0,SUDBURY,4,0,3.0,7.0,1.0,0.0
2020-05-02,2262.0,THUNDER BAY,0,0,0.0,0.0,0.0,0.0
2020-05-02,2263.0,TIMISKAMING,2,0,3.0,3.0,0.0,0.0
2020-05-02,2265.0,WATERLOO,8,3,187.0,101.0,49.0,0.0
2020-05-02,2266.0,WELLINGTON-DUFFERIN-GUELPH,6,1,45.0,26.0,16.0,0.0
2020-05-02,2268.0,WINDSOR-ESSEX,5,2,50.0,35.0,31.0,0.0
2020-05-02,2270.0,YORK REGION,12,1,193.0,81.0,58.0,0.0
2020-05-02,3895.0,TORONTO,58,3,1086.0,704.0,417.0,1.0
2020-05-02,4913.0,SOUTH WEST,1,0,0.0,1.0,0.0,0.0
2020-05-02,5183.0,Huron Perth,3,1,1.0,2.0,4.0,0.0
2020-05-03,2226.0,ALGOMA,0,0,0.0,0.0,0.0,0.0
2020-05-03,2227.0,BRANT,3,0,29.0,27.0,23.0,0.0
2020-05-03,2230.0,DURHAM,6,3,202.0,101.0,100.0,0.0
2020-05-03,2233.0,GREY-BRUCE,2,1,7.0,3.0,2.0,0.0
2020-05-03,2234.0,HALDIMAND-NORFOLK,2,1,0.0,4.0,0.0,0.0
2020-05-03,2235.0,HALIBURTON KAWARTHA PR,2,0,39.0,39.0,29.0,0.0
2020-05-03,2236.0,HALTON,4,1,4.0,5.0,0.0,0.0
2020-05-03,2237.0,HAMILTON,4,2,8.0,4.0,6.0,0.0
2020-05-03,2238.0,HASTINGS PRINCE EDWARD,3,1,20.0,6.0,2.0,0.0
2020-05-03,2240.0,CHATHAM-KENT,0,0,0.0,0.0,0.0,0.0
2020-05-03,2241.0,KINGSTON FRONTENAC L & A,0,1,0.0,0.0,0.0,0.0
2020-05-03,2242.0,LAMBTON,2,1,3.0,3.0,0.0,0.0
2020-05-03,2243.0,"LEEDS,GRENVILLE,LANARK",2,1,96.0,25.0,30.0,0.0
2020-05-03,2244.0,MIDDLESEX-LONDON,5,3,17.0,19.0,11.0,0.0
2020-05-03,2246.0,NIAGARA,3,4,19.0,12.0,15.0,0.0
2020-05-03,2247.0,NORTH BAY-PARRY SOUND,0,0,0.0,0.0,0.0,0.0
2020-05-03,2249.0,NORTHWESTERN,0,0,0.0,0.0,0.0,0.0
